card_id,name,issuer_key,network,currency,is_business,annual_fee,first_year_fee_waived,base_earn_pct,bonus_amount,bonus_value_usd,bonus_spend,bonus_days,counts_toward_524,point_value_cents,url,discontinued,tccp_product_id
59c1e4c423d078c91e9b7c51d72e893d,Hilton Honors Aspire,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,false,550.0,false,1.0,150000,750.0,6000,180,true,0.5,https://www.hilton.com/en/hilton-honors/credit-cards/,false,american-express-national-bank-hilton-honors-american-express-aspire-card
434df114291a974c876d58cf79158376,Hilton Honors Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,true,175.0,false,5.0,130000,650.0,6000,180,false,0.5,https://www.hilton.com/en/hilton-honors/credit-cards/,false,
f6c6aa50b533b758df7be5151d805571,Hilton Honors Surpass,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,false,95.0,false,1.0,130000,650.0,3000,180,true,0.5,https://www.hilton.com/en/hilton-honors/credit-cards/,false,american-express-national-bank-hilton-honors-american-express-surpass-card
4d2115812f09d194440ef99b1a5210cd,Marriott Bonvoy Brilliant,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,false,650.0,false,1.0,200000,1400.0,6000,180,true,0.7,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,false,american-express-national-bank-marriott-bonvoy-brilliant-american-express-card
1129280627d633940e575deabdaa105f,Marriott Bonvoy Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,true,125.0,false,1.0,0,0.0,3000,90,false,0.7,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,false,
ec1872dfd8a65491a33bae2da4dd487f,Platinum,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,895.0,false,1.0,100000,600.0,8000,180,true,0.6,https://www.americanexpress.com/us/credit-cards/card/platinum/,false,american-express-national-bank-the-platinum-card
7eb93f5f9ab64e1c12b82ec8822c25ef,Platinum (Schwab),AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,895.0,false,1.0,80000,480.0,8000,180,true,0.6,https://www.schwab.com/credit-cards/platinum-card,false,american-express-national-bank-the-platinum-card-from-american-express-for-charl
ab55a96910ffc7f31fc1605c99430ec5,Platinum (Morgan Stanley),AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,895.0,false,1.0,80000,480.0,8000,180,true,0.6,https://us.etrade.com/l/morgan-stanley-platinum,false,american-express-national-bank-the-platinum-card-from-american-express-exclusive
653b14a655f4edc9bfc0332e9370e139,Marriott Bonvoy Bevy,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,false,250.0,false,1.0,175000,1225.0,5000,180,true,0.7,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,false,american-express-national-bank-marriott-bonvoy-bevy-american-express-card
9bf8d331ae97a8ddc47ef3d22dcaf213,Lowes,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0.0,false,1.0,,,,,false,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/lowes-credit-cards/,false,
a3b091353bd1a45ad58f75e5287f1fd6,Schwab Investor,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,0.0,false,1.0,200,200.0,1000,90,true,,https://www.schwab.com/public/schwab/investing/accounts_products/credit_cards,false,american-express-national-bank-the-charles-schwab-investor-credit-card-from-amer
